content,is_spam
hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines,1
Pleas subscribe my channel GamezZMTA﻿,1
http://shhort.com/a?r=Jt2ufxHxc﻿,1
Check Out The New Hot Video By Dante B Called Riled Up,1
"This is ****ing shit. From the first notes, that becomes clear. Complete  and utter shit. May God come and cleanse the earth of the complete and  utter idiocy which is humankind.﻿",0
Sub to my channel visuelgamingzNL I sub back﻿,1
LMFAO!!!!!!!!﻿,0
What does that tattoo on her right tricep say?﻿,0
I'm watching this in 2014﻿,0
I think this is now a place to promote channels in the comment section lol.﻿,0
Hiya😊 I just started YouTube and it would mean a lot if some of you could  subscribe and watch my first video?xx﻿,1
https://www.facebook.com/pages/%D8%AA%D8%AD%D9%85%D9%8A%D9%84-%D8%A7%D8%AC%D9%85%D9%84-%D8%A7%D9%84%D8%A7%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89___-music/674732645945877 ﻿,1
Such a good song ans Katy sounds great over the melody. Im growing as an  artist everyday from my hit song 'CRAZY' which has got my name out there.  cant thank my fans more for their support. If you could take a moment? to  check it and my music? maybe you'll join me to make my dream come true :)  thank you for your time﻿,1
Shakira is very beautiful,0
Thumbs up if shrek is gay 👍﻿,1
I&#39;m A SUBSCRIBER﻿,1
"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿",0
She is a perfect wonder.....﻿,0
Check out this video on YouTube:﻿,1
"I shared my first song &quot;I Want You&quot;, and I hope you&#39;ll like it. Take a listen!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿",1
"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿",1
I  love you Eminem﻿,0
Nice,0
2.126.521.750  views!!!!!!!!!!!!!!!!!﻿,0
"She named the tiger Kitty Purry  No, seriously, she did, check the video ﻿",0
"hey guys if you guys can please SUBSCRIBE to my channel ,i&#39;m a young rapper really dedicated i post a video everyday ,i post a verse (16 bars)(part of a song)everyday to improve i&#39;m doing this for 365 days ,right now i&#39;m on day 41  i&#39;m doing it for a whole year without missing one day if you guys can please SUBSCRIBE and follow me on my journey to my dream watch me improve, it really means a lot to me  thank you (:, i won&#39;t let you down i promise(: i&#39;m lyrical i keep it real!",1
Its funny because I listen to rock and death metal. But i like this.﻿,0
Thumbs up if your watching in 2015﻿,1
":: ATTENTION : WE NEED 10 Million Views More for FIREWORK to Reach 500M .. We have only 1 and half day left for katy's birtgday. Listen How it could be possible?? &gt;&gt;JUST Open different Tabs from Different Browser &gt;&gt;Dont Watch Full Video, Remember We dont have time on hand, Its Time Wasting. View it only for 30 sec. Plz thumbs up and share﻿",1
I #votekatyperry for the 2014 MTV #VMA Best Lyric Video! See who's in the  lead and vote:  http://on.mtv.com/Ut15kX﻿,1
Check out this video on YouTube:﻿,1
"HAHAA THIS DANCE IS TIGHTTTT<br /><br />I know y&#39;all &quot;…ain&#39;t got time for MY demo man&quot;  but check out some of my stuff<br /><br />Slappers on slappers on bangers! Click that link below to peep game! ENJOY. <br /><br /><a href=""https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk"">https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk</a>﻿",1
"When I hear Katy singing this, I cry. The song has got depth.﻿",0
Who is still watching in 2015﻿,0
2015 and more....﻿,0
"Im a RAPPER/SONGWRITER, check my video PLEASE..also subscribe for more  thanks :) tell me what you think.﻿",1
"Ahhh, 2 years ago....﻿",0
https://twitter.com/GBphotographyGB﻿,1
"mindblowing dance.,.,.superbbb song﻿",0
"Anyone Who LOVEs music , please go check out my youtube page and tell me  what you think . I just put a video up and will be doing more song. I'm  just trying to get myself started. Any love is much Appreciated ﻿",1
EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,1
This song is just really fun ﻿,0
THIS IS SHIT AND SOOOOO AUTOTUNED﻿,0
this video has 800+m views<br />and the channel got 3m subscribers﻿,1
guys please subscribe me to help my channel grow please guys﻿,1
https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,1
Check Out The New Hot Video By Dante B Called Riled Up,1
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8. I love this song  and video Katy Perry Rocks Wahoo! 😀😘﻿,0
I love eminem  &lt;3﻿,0
Nice﻿,0
Bitcoin is the best investment of the decade. Buy Bitcoin now!,1
Man this song really does get in your bones - one minute I&#39;m nearly dosing off to sleep - the next I&#39;m shuffling like crazy with hot feet XD﻿,0
3:46 so cute!﻿,0
The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿,0
I WILL NEVER FORGET THIS SONG IN MY LIFE LIKE THIS COMMENT OF YOUR HEARING THIS SONG FOR LIKE A YEAR!!!!!,1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The plausible summer submits the behavior. When does the grass check the peaceful seat? The country strategizes the edge.",1
Hello I&#39;m from Bulgaria﻿,0
My three bigger secrets are: I don't think I'm good enough for me skinny  size. I'm bisexual and I sweat really freaking bad when I'm nervous. -  check out Secret by Austin Mahone's NEW Single!﻿,1
I love this song because we sing it at Camp all the time!!,0
"To help shakira become the first female to hit 1billiom views, I&#39;ve decided to watch this Video at least one a day. Everyday! Shakifans we r so close just hit the replay button !!!﻿",0
"You are all sheep, period. This is terrible music.﻿",0
Check out this video on YouTu﻿,1
"Don't mind me, I'm just checking what the views are up to : )﻿",0
4 ****ing years are ****ing past so ****ing fast ****.....﻿,0
"You exactly who u want to be,watching your favourite rappers on tv﻿",0
Anyone else think this video theme is a bit of an insult to 28 days later? ﻿,0
Check out this playlist on YouTube: I tried﻿,1
She looks like Megan Fox 😂 xD!!﻿,0
"OH SHIT THIS WAS UPLOADED ON MY BIRTHDAY, finally my birthday isnt a curse, because on this day maylaysia airlines went missing, so i thought my birthday was a curse xD﻿",0
Hello. İ am from Azerbaijan<br />﻿,0
"This past Christmas my dad passed away, to help me cope I picked up a pen and some paper and started to write. Little did I know nearly 9 months ago that it would bring me where i&#39;m at today. Over 7k subscribers and 500k video views. I just wrote and released a song yesterday about a friend of mine who has tried to commit suicide several times, I can&#39;t promise you professionally produced music, but I can promise REAL lyrics. Just click on my picture. Thanks, and thumbs up so others may see?",1
Men stop being naive idiots believing in love and believing that women actually respect you.  Want a more fulfilling drama fee life? Check out MGTOW. There are many channels here on YouTube that you can chose from which will give you all the information needed. (Caution: Not for men who enjoy being disposable providers of utility)﻿,1
Why sooooo many downs?﻿,0
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1
This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0
She's awesome XD﻿,0
charlieee :DDDD (Those who saw Lost only will understand)﻿,0
Justin bieber = gay ﻿,0
Honestly speaking except taylor swift and adele i don't lile any of the  modern day singers. But i must say whenever i hear this song i feel  goosebumps. Its quite inspiring!! Thanks miss Perry!﻿,0
Behold the most viewed youtube video in the history of ever﻿,0
Oh my god go to 1 billion of replay i love shakira﻿,0
Perfect! &lt;3﻿,0
PLEASE VOTE FOR ME FOR THE WET SEAL MODEL 2015 CONTEST! MY INSTAGRAM  USERNAME IS destinyforever_  http://www.wetseal.com/modelsearch15/modelsearch15.html﻿,1
best song in world﻿,0
I came here because of Vanoss.﻿,0
SO THEN HOW ARE YOU GOING TO CALL YOURSELF A INSTRUMENTAL SONGWRITER IF THERES NO SINGING THERES NO SONG TO WRITE!?!?! LOL.   YOU GOT ALOT TO LEARN KID BUT HEY DON&#39;T FORGET TO SUBSCRIBE!,1
SHAKIRA SONG WAKA WAKA﻿,0
Check out this playlist on YouTube:﻿,1
"Nature is beautiful, no need to place tits in video to impress people.﻿",0
"I don&#39;t understand this song, I have had the passion for women feel like im losing my mind but i don&#39;t understand the ideas of loving the the way someone lies.....﻿",0
Check out this video on YouTube:﻿,1
What my gangnam style﻿,0
"Hi there, have you heard about DribbleProShot? Just do a search on Google. On their web site you can watch a smart free video featuring the best way to significantly boost your football aka soccer skills in no time... It turned Nick into a much better football or soccer player...His team mates were definitily amazed! I hope it will help you also...",1
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0
"Cool Video LMFAOVEVO! You should check out my shuffling videos on my channel when you get the chance. It&#39;s much appreciated. Cheers! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23EveryDayImVaping"">#EveryDayImVaping</a> ;-)﻿",1
Check out this video on YouTube:<br />Looking for my wood pile...<br />Anyone seen it? Hmm?&#39;<br />How bout some pie now <br />Ladies?&#39;﻿,1
fave song﻿,0
:),0
Check out this video on YouTube:﻿,1
"katy perry does remind me of a tiger,like as if its her spirit animal :3 &lt;3﻿",0
No-I hate The Way U LIe!!﻿,0
Rihanna is absolutely gorgeous in this video.﻿,0
"YO GUYS SORRY IF THIS ANNOYS YOU!!! BUT CHECK OUT MY CHANNEL, AND LATEST VIDEO. A LIKE AND SUBSCRIBE WOULD BE NICE TOO!!!!!!!",1
"Is this the video that started the whole ""got my dick stuck in an elevator""  excuse thing? ﻿",0
There is one video on my channel about my brother...﻿,1
I love this song﻿,0
I love this video about Bitcoin. I hope you'll love it too!,0
"<a href=""https://www.facebook.com/groups/100877300245414/"">https://www.facebook.com/groups/100877300245414/</a>﻿",1
Eminem rocks!﻿,0
"A  friend of mine has invented a big dick formula. He had a small dick (4  inches) and he did some research about this topic. During the research, he  found out the secret knowledge of penis enlargement. He applied what he  had learned and now he has a 7 inch dick. He was absolutely amazed by his  results. Of course, it took a few months. Therefore, he has written a book  about this issue in order to help guys. He asked me to promote his book :)  So, guys if you are interested and for more info check this out  https://payhip.com/b/oTIb  . He is selling it for symbolic £1. Thank you ;)﻿",1
She is perfect,0
https://www.facebook.com/photo.php?fbid=313454548839369&amp;set=a.207230212795137.1073741825.100005244783212&amp;type=1&amp;theater  1111111111111111111﻿,1
just :( superr!!!﻿,0
could you guys please check out my channel for hiphop beats?,1
hey guys!! visit my channel pleaase (i'm searching a dream)﻿,1
 I love your music ﻿,0
"no where near one of eminems actual best songs, real fans know what im talking about: Untitled, cold wind blows, welcome 2 hell, elevator, business, wtp, almost famous, 25 to life, rock bottom, no apologies, same song and dance, without me, way i am, toy soldiers, mosh and insane &lt; songs off the top of my head that&#39;s better﻿",0
CHECK OUT Eminem - Rap God LYRIC VIDEO,1
"Alright ladies, if you like this song, then check out John Rage.  He&#39;s a smoking hot rapper coming into the game.  He&#39;s not better than Eminem lyrically, but he&#39;s hotter. Hear some of his songs on my channel.﻿",1
MEGAN FOX AND EMINEM TOGETHER IN A VIDEO  DOESNT GET BETTER THAN THAT﻿,0
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  The jelly activates the reflective distribution. The normal top synthesizes the opinion. The victorious plant entertains the language.",1
2011- the last year of decent music.﻿,0
pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al﻿,1
"Definitley the song for 2010 when im not listening to gypsy SHAKIRA ROCKS<br /><span class=""proflinkWrapper""><span class=""proflinkPrefix"">+</span><a class=""proflink"" href=""https://plus.google.com/101721377578919894134"" oid=""101721377578919894134"">shakiraVEVO</a></span>﻿",1
Subscribe to my channel <br />Tweet &amp; Follow me on twitter //therealterrell_ <br />And I will follow you back 👀﻿,1
"What the hell this song is already five years old?? I remember when it first came out, this was my jam﻿",0
Check out this video on YouTube:﻿,1
https://www.facebook.com/nicushorbboy add mee &lt;3 &lt;3﻿,1
Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,0
she is megan fox?because she is very similar﻿,0
https://www.reverbnation.com/slicknick313/songs﻿,1
CHECK OUT THE DUBSTEP VERSION,1
watch this with sound off!﻿,0
Anyone else notice that Megan Fox is in this video?﻿,0
"Hi I&#39;m lil m !!! Check out love the way you lie!!!! My live performance and many others,,, videos and my own lyrics!!!!! Thanks",1
give it a like﻿,1
Hi.. Everyone.. If anyone after real online work. I can help u. Earn lots of money. It&#39;s fun. It&#39;s real and affiliated company.. U not think u r working. It&#39;s easy and enjoyable. For more info contact me .. Neeru105@ gmail.com,1
Still a very fun music video to watch! ﻿,0
just came to check the view count﻿,0
Like this in 2015! :D﻿,0
BEAUTIFUL,0
2 Billions in 2014,0
"Lol...I dunno how this joke gets a lot of likes, but whatever. xD﻿",0
please suscribe i am bored of 5 subscribers try to get it to 20!﻿,1
How To Make A Lot Of Money Fast,1
"How do you forget you have a choice, and what the ****, surviving a plane  crash has a 1/1000 chance of happening.﻿",0
CHECK OUT MY MUSIC VIDEO ON MY CHANEL!!!,1
SERIOUSLY HOW DID THEY COME UP WITH THAT BEAT IT IS INSANELY GOOD HOLY ****﻿,0
"i been working so hard for the past 60 days to improve i been writing/recording/mixing/performing 16 bars everyday im doing it for a whole year(365 days) today i&#39;m on day 60 today i work so hard now i&#39;m doing 2 verses everyday to improve i&#39;m going all the way to 365 PLEASE SUBSCRIBE to my channel  help me build a fan base ,watch me improve,help me get closer to my dream i&#39;m lyrical and i keep it real i won&#39;t leave you down i promise(: PLEASE SUBSCRIBE please like this  commment so people can see",1
"I really love watching football and also I’ve started off making income with out financial risk from acquiring bonus deals. It’s this weird technique where you wager on something with one bookmakers and bet against it on Betfair. You secure the bonus as income . A chap named Jim Vanstone is finding the wagers free on his own website Vanstone Secrets (Google it!). I’ve made about 500 quid thus far. And it is cost-free. I guess the bookies pay him to obtain new consumers, yet this actually works.",1
This song makes me want to drink bleach﻿,0
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0
Cutie girl and beautiful song,0
do you want to make some easy money? check out my page tvcmcadavid.weebly . com dont miss out on this opportunity,1
Check out this video on YouTube:lo﻿,1
IIIIIIIIIII LOVE THIS SHAKE IT SONG OH SORRY EVERY SHAKE IT SONG I LIKE WATCH SUBSCRIBE AND NEVER UNLIKE BROOOOO!!!!!!!!!!! SHAKE IT UP﻿,1
i&#39;m watching this on summer 2015﻿,0
https://www.surveymonkey.com/s/CVHMKLT﻿,1
Check out this video on YouTube:﻿,1
"NEW GOAL!   3,000,000!  Let's go for it!﻿",0
❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,0
"Hey guys! I've made a amazing Smiley T-Shirt.Of all the things you wear,  your expression is the most important and remember all the statistics in  the world can’t measure the warmth of a smile. If you're a big fan of  T-Shirts and want to gets more happiness, it's perfect for you.  Check this  out and buy it at www.teespring.com/smiley12 =)) thanks you guys so  much!!! ﻿",1
marketglory . com/strategygame/andrijamatf earn real money from game,1
"Made five years ago and people still don&#39;t understand the message this song is conveying. For those of you who don&#39;t, understand that domestic violence is no game, women like the fictional one in this video do exist. Living their lives with a man who abuses her, but still chooses to stay for not the love, but for the sexual feeling he gives her. This is quite sad, actually. ﻿",0
awesome﻿,0
"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock.﻿",0
i remember this song!,0
Shakira I love you,0
I don't now why I'm watching this in 2014﻿,0
Check Out LEANDRUS - PLAYTIME It&#39;s awesoooome !!,1
http://www.twitch.tv/zxlightsoutxz﻿,1
You know a song sucks dick when you need to use google translate to know  what the **** its saying!﻿,0
"This song is great there are 2,127,315,950 views wow﻿",0
"DAMNNNNNNNN, she is sexy O_O﻿",0
beautiful﻿,0
That was very good I mean very very much good ﻿,0
this very good so I dance with some companions front of the whole school﻿,0
Who&#39;s watching in 2015 Subscribe for me !﻿,1
I hate videos like these with those poor animals.﻿,0
"To everyone joking about how he hacked to get 2 billion views because  there's a certain amount of people or whatever,  He actually did buy views.﻿",0
dude check out psy,1
**** it was the best ever 0687119038 nummber of patrik kluivert his son share !﻿,1
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
EVERYBODY PLEASE VOTE KATY AT EMA 2014 !!!!!  Best song  Best female Best pop Best live Best look  Best video  PLEASE VOTE KATY !!!!! PLEASE PLEASE PLEASE !!!!! VOTE VOTE VOTE !!!!! KATY KATY KATY !!!!!﻿,1
goot﻿,0
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!﻿,0
watch?v=ARkglzjQuP0 Like this comment and share this video so Em can win!!! #YTMA,1
Share this video.. This song can beat PSY - Gangnam Style!,1
Check out this video on YouTube:﻿,1
subscribe to me for call of duty vids and give aways Goal-100 subs﻿,1
subscribe  my,1
Check out this video on YouTube:﻿,1
Love this song makes me wanna dance! ﻿,0
One of the best song of all the time﻿,0
FOLLOW MY COMPANY ON TWITTER  thanks.  https://twitter.com/TheWaxedHatCo﻿,1
Please subscribe to us and thank you﻿,1
I love you,0
Admit it you just came here to check the number of viewers ﻿,0
C'mon 3 billion views!!!!!!!!﻿,0
"The song is very good ...but the video makes no sense...just a nonsense  video...I mean she is telling her story of being stuck on an island, but  the song doesn't fit in the situation...but nvm...The song is good﻿",0
 GO TO MY CHANNEL and check out my written songs﻿,1
Hey! I'm NERDY PEACH and I'm a new youtuber and it would mean THE ABSOLUTE  world to me if you could check 'em out! &lt;3  Hope you like them! =D﻿,1
me segue ha  https://www.facebook.com/marcos.sousa4?fref=ts﻿,1
subscribe my chanel﻿,1
Lol thats the guy from animal planet and lost. And the girl is megan fox i think hahah ﻿,0
Come subscribe﻿,1
This is my favorite song ever love this Party Rock It Everybody!!!!﻿,0
get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,1
i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,0
 HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1
i like it :)﻿,0
Check out this video on YouTube:﻿,1
This song is true because it is insane because boys will do this to a girl and it is not true that people say that a guy will never do it to a girl but boys YOU LIERS NOW STOP TREATING US GIRLS THIS WAY YOU ALL SUCK!﻿,0
hello friends. i am a young 15 year old rapper trying to make something out of nothing..Please can you take a second of your life and check out my videos and help me reach my Dreams! GoD Bless YOU,1
Check out this video on YouTube:﻿,1
http://www.mediafire.com/download/yvovhafsv5qzzqo/Video.rar    download and  make money today ﻿,1
Hii youtube﻿,0
Subscribe to me plz plz plz plz plz plZ ﻿,1
Your the best♣♥﻿,0
likeeeeeeeee﻿,0
this video is great .....!!! I love this........and like much katy perry﻿,0
Wow dance show﻿,0
i want to smack this year boy in to forever﻿,0
Subscribe﻿,1
love!!!!﻿,0
"she is a fool. this is a foolish video. the lyrics are all about her and  how great she is. she is arrogant, obviously. but the thing is that there  are a lot of idiots.. look how many hits this garnered. the young stupid  girls who listen to her are numbering in the millions i guess. this video  is a piece of trash. why would anyone ever like it or listen to it? because  these stupid little girls have idiots for fathers and mothers.. and so they  are going to turn into idiots also.. just like this stupid singer. ﻿",0
Love this soooooooooooooooooooooooooooooooooooooooooooooooooo much﻿,0
Go check out eminem survival.,1
Check out this video on YouTube:﻿,1
subscribe to my channel  /watch?v=NxK32i0HkDs,1
so spousal abusue cool that&#39;s great﻿,0
https://www.facebook.com/pages/Hiphop-Express/704682339621282                 like this page yo﻿,1
░░░░░░░/\░░░░░▄▐<br />░░░░░░/     \░░░▄██▄<br />░░░░░/  (o)   \░░░░░▀█▄<br />░░░░/             \░░░░░░▀█▄<br />░░░/__   \   ░▄▄▄▄▄▀▀<br />░░░░▄▄▄██▀▀▀▀<br />░░░█▀▄▄▄█░▀▀       YOU HAVE BEEN SPOOKED BY THE SPOOKINATI<br />░░░▌░▄▄▄▐▌▀▀▀<br />▄░▐░░░▄▄░█░▀▀    SHARE THIS TO 666 PEOPLE TO BE UNSPOOKED <br />▀█▌░░░▄░▀█▀░▀ <br />░░░░░░░▄▄▐▌▄▄<br />░░░░░░░▀███▀█░▄<br />░░░░░░▐▌▀▄▀▄▀▐▄<br />░░░░░░▐▀░░░░░░▐▌<br />░░░░░░█░░░░░░░░█<br />░░░░░▐▌░░░░░░░░░█<br />░░░░░█░░░░░░░░░░▐▌﻿,1
Your a ****ing bitch,0
