content,is_spam
Check out this video on YouTube:﻿,1
amazing song﻿,0
I LOVE YOU!!! Because u make me smile when im sad you cheer me up with your  beautiful songs (: &lt;3﻿,0
The new Makeup Transformation with Integrated Look-A-Like Feature now  available in Ver 1.13! Do you know who you look like? Install or update  your version of Makeup Transformation  https://play.google.com/store/apps/details?id=com.yourelink.makeuptransformation  or visit Google Play.﻿,1
"9 year olds be like, 'How does this have 2 billion views when there are  only 3 people in the world'﻿",0
Y LOVE YOU﻿,0
"Charlie, heroin will do that to you.﻿",0
Best song ever﻿,0
Love this song makes me wanna dance! ﻿,0
Made in china....﻿,0
"<a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=2m19s"">2:19</a> best part﻿",0
sorry but eminmem is a worthless wife beating bastard﻿,0
I &lt;3 Katy Perry!﻿,0
♫I know someone will see this ♥ I have a dream… I don’t have the greatest videos or the best quality Right now I feel like i'm not getting anywhere and I need your help ♫ If you could possibly watch my videos it means the world to me ♥ Please thumbs this up so others can see… I appreciate it so much ♥♫ Please listen before you hate. Honestly i  appreciate it so much  You don’t have to love me just give this 17 year old a chance﻿,1
Hi everyone! Do you like music? Then why not check out my music channel. The LEXIS band will be uploading their own songs and covers soon so don&#39;t miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one click. -&gt;﻿,1
"My honest opinion. It's a very mediocre song. Nothing unique or special  about her music, lyrics or voice. Nothing memorable like Billie Jean or  Beat It. Before her millions of fans reply with hate comments, i know this  is a democracy and people are free to see what they want. But then don't I  have the right to express my opinion? Please don't reply with dumb comments  lie ""if you don't like it don't watch it"". I just came here to see what's  the buzz about(661 million views??) and didn't like what i saw. OK?﻿",0
"Every time I watch this mv I just so so so glad that I live in a world that  don't have to worry about running from a real, human eating tiger.﻿",0
http://www.wattpad.com/story/26032883-she-can-love-you-good﻿,1
I like this song very much﻿,0
love Shakira!﻿,0
"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",1
best song eva,0
I love this song,0
"Hey, have you tried &quot;DribblePROshot&quot; yet? Just do a search on Google. On their website you will find a useful free video demonstrating the right way to enormously improve your soccer or football skills in no time... It transformed Fausto into a substantially better football/soccer player...to the amazement of his team mates. Hopefully it works for you too.",1
No one makes me wanna party like LMFAO does... I just wanna rage every time one of these songs comes on. The only other band that does that is &quot;On the Rocks Inc.&quot; those kids know how to party﻿,0
adf.ly / KlD3Y,1
"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1
please look up DHG SONGS this is my playlist with a bunch of amazing songs ﻿,1
More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿,1
"Still amazing this song!! I did a French Kpop Parody. Please come on my Channel to watch it. Share, suscribe, comment Thanks",1
I love roar and Katy Perry. She is my favorite singer and sometimes I just  mute the volume and look at her!﻿,0
http://flipagram.com/f/LUkA1QMrhF﻿,1
Most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...﻿,0
http://www.googleadservices.com/pagead/aclk?sa=L&amp;ai=CSyOEB1wxVPCfL7D27AbGpYDgBJDPm6IH6MHu05wBgJXbv8sBEAEgkN7lJVCF7byH_f____8BYIOFgICAHKABsKG31wPIAQKpAh_KmC0hBpM-qAMByAPBBKoEkwFP0KullxqI1MG6o43HVzE-eFMqRG4Tu5LLBU_fsZ8gn0HBkJhBX-m83W1TS3_3Dx_HwPdX1Kazsj8o7SIEcVJjmBNsWyiJEcqvHXLbdzStUBOFaloYInWm0_rOOCppS2AuAT6zguICKm0lI83duwMAbzqvenE8TRfAzOrltBb037VzYv_XI4hBNQ2nvh19MrBgE0SIBgGgBgKAB7jeyCg&amp;num=1&amp;cid=5Ggs_m_9mA3TI40fS6mVPICS&amp;sig=AOD64_1OFC7Seh_1pOp-jYrbS7X6-heeNQ&amp;client=ca-pub-8252267209931889&amp;adurl=http://blog.2parale.ro/2014/10/challenge-pentru-afiliati-aplica-la-noile-programe-de-afiliere-si-fii-business-boomerul-lunii/&amp;nm=2&amp;mb=2&amp;bg=!A0QoUc7Q48v3_QIAAABpUgAAACsqAR0_VgOQWQxjmPUyvKoSf3K-q1BvKf9ZE4jhNC3ovckKxCbAFzZpAJiBXWBvVq4jrDgZ8q3rInlwgaBy_bXlfw7ma6dk0RJG14ZkRyizwqdi7HxgGE9tNDD9abflTFkBMbFfcJixNtHwbwkJ6N2onLH2D9EvEagPhoEwXOgBnu5ibgtRkgnAcQ1OIbgMzgAFNSc0lsaRiqj8HQR8T12dWv_7biY4k6I3y4yubloTdE_4XVKlnVeADZzF1L_xRYQkE6Wsur3EdLJWGk8fLq_QALdI-wAzNuysgqjNRDY6VucKLplZONyiSdKc9ebX-0dbHjZdW0LbsJBi40gXm0D0p5KRhv8XInQlI53__wQBaHS8zX4MJHw5vWrkPXFOeKs ﻿,1
Party rock! XD﻿,0
YO GUYS IM 14 YEAR OLD RAPPER JUST STARTED RAPPING  SO PLEASE CHECK OUT MY SITE AND LEAVE FEEDBACK AND SUBSCRIBE  ALSO LIKE THIS COMMENT SO MORE CAN SEE AND MAKE MY CHANNEL BIG ASWELL,1
Hi. Check out and share our songs.,1
Οh my god ... Roar is the most liked video at Vevo .. while 2 months ago  was Justin's Baby.. congrats Katy . Applause &lt;3 ﻿,0
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Memory Ferirama Besloor Shame Eggmode Wazzasoft Sasaroo Reiltas Moderock Plifal Shorogyt Value Scale Qerrassa Qiameth Mogotrevo Hoppler Parede Yboiveth Drirathiel",1
We pray for you Little Psy ♡﻿,0
Remeber the good ol&#39; days when songs weren&#39;t about butts.  ﻿,0
"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing... If this comes off as spam, sorry. I am a video animator, just trying to make it up into the video animation industry. Please give me the chance to prove myself to you. Please visit my channel, subscribe if you like and thumb this comment up, so everyone can see! Thank You! ",1
Waka waka eh eh﻿,0
....I stil lisening this :)﻿,0
Check out this playlist on YouTube:﻿,1
I love this song!!!﻿,0
Check out this video on YouTube:﻿,1
like this comment please﻿,1
Check out this video on YouTube:﻿,1
"New way to make money easily and spending 20 minutes daily --&gt; <a href=""https://www.paidverts.com/ref/Marius1533"">https://www.paidverts.com/ref/Marius1533</a>﻿",1
http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1
Memories﻿,0
"i think they were drunk when they shot the first half of the video and then the sec on half comes in, and her boobs are magically bigger and  she's more beautiful suddenly, and the dude practically vanishes ﻿",0
I always have goose bumps at that part,0
More views than nikki minaj Anaconda﻿,0
I just wanna see how many people like this comment. I&#39;ll give it a month or so :)﻿,1
Yeah! Let&#39;s start the party!﻿,0
 are  there  people who like  this shit? hahahahah :P<br />this isn&#39;t even real music.......... it&#39;s computer-based music.....<br />well done music industry.....﻿,0
Hey if you guys wouldnt mind...could you check out my boys and my music...we just made a real lyrical song...search DNA Andrew Guasch...I appreciate it. Leave some real feedback and keep Hip-Hop alive,1
**** Eminem. Bieber is the best &lt;3﻿,0
My uncle said he will stop smoking if this comment gets 500 likes! Please like this comment! Thanks.﻿,1
:D subscribe to me for daily vines,1
we are 14 year old boys we are trying to enter in the music industry Maybe we are just a dreamers but we are not the? only one. Please give us one chance to prove ourself to you. we know these things are annoying as hell we are sorry? about that. But we do anything to get music heard. Please visit our channel subscribe if you like and thumb this comment up so everyone can see we have made a song called: I Wanna Play A Game please take a look on our channel Thankss!!!,1
I love  Shakira !!!!!! ❤🎵🎶🎼🎸﻿,0
I love this song sooooooooooooooo much﻿,0
Nice song﻿,0
Check out my covers I have a video coming out  please subscribe﻿,1
i love you katy perry because you will sing nice than shakira﻿,0
Subscribe to me and I'll subscribe back!!!﻿,1
******* Facebook is LAME and so 2004! Check out ------------ swagFriends com Make thousands of cool new friends everyday! Join this new movement!,1
She's an old Whore!﻿,0
COME SUBSCRIBE TO MY CHANNEL! ;-)  PLEASE!!,1
i hate rap﻿,0
Like if you came here too see how many views this song has.﻿,0
Check out this playlist on YouTube:﻿,1
There is 7 bilion poeple on earth Now stop being dumb﻿,0
How did you know that people makes another account just for subscribing itself and liking??? :),1
I ****ing hate her. Why? Because she don't write her songs she got  producers for that. Second why tha fack is she in every song almost nude  mayby because she's an attention hooker.﻿,0
i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.MyLeaderGate.com/moretraffic﻿,1
LoL﻿,0
i hate this music. ****ing singer and every koean chainise ana US sucks me dick.﻿,0
watch youtube video &quot;EMINEM -YTMA artist of the year&quot; plz share to vote!!!,1
Where are Shakifans?,0
"Getting too 1billion views, holy moly.!!!﻿",0
I love this song﻿,0
Like this comment for no reason﻿,1
follow me on instagram bigboss286﻿,1
"the views...... They&#39;re over 90,000!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿",0
Tell us the title so i can like and subscribe your music fgw please,1
Check out this video on YouTube:﻿,1
I love it,0
"I really don't understand how this has 600 million views lol. I'm not  hating or anything, it's just confusing. ﻿",0
"Rap from Belarus, check my channel:)﻿",1
https://www.tsu.co/KodysMan plz ^^﻿,1
I love katty perry﻿,0
well done shakira,0
hay my is honesty wright i am 12year old  i love your song thank you for makeing this song i love this song so much sometime harts can get breaken  people kill  they self or go cazzy i  love you so much thanks 😱👏keep on go  make  sure you doing your   dream is comeing rule  good luck﻿,0
SUBSCRIBE ME AND I REQUITE,1
:D subscribe to me for daily vines,1
"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1
Like this comment for no reason.﻿,1
Hi Guys im an Upcoming Rapper if you could check out my channel and tell me what you think maybe subscribe or like i would really appreciate it all HATERS are welcome to :) thanks,1
"I loved, she is amazing.. OMG your eyes*_*﻿",0
 subscribe to my feed,1
Check out this video on YouTube:Qq﻿,1
  Check out my SEXY VIDEO :*,1
This was such an epic track. And the video is awesome!﻿,0
Share Eminem&#39;s Artist of the Year video so he can win. We could see a performance and acceptance speech. Like this comment so everyone can see.  2014 =  Year of Eminem,1
Check out this video on YouTube:﻿,1
"Hey yall its the real Kevin Hart, shout out to my fans!!! follow me +RealKevinHeart ﻿",1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the war illustrate the exclusive space? The mountain refers the helpless death. The tax reviews the special music.",1
need money?Enjoy https://www.tsu.co/emerson_zanol﻿,1
Katty is the best! ! ! ! ﻿,0
Subscribe &amp; Like /watch?v=5tu9gN1l310,1
Hello Brazil 😻✌💓😻👏﻿,0
DO YOU KNOW HOW SEAN KINGSTON GOT FAMOUS WHY DON&#39;T YOU LOOK IT UP KID BEFORE YOUR SO HARD ON YOURSELF!!  IF YOU HIT ME UP WITH A MESSAGE IN MY INBOX AND SUBSCRIBE I WILL CHECK OUT YOUR CHANNEL....SOUNDS FAIR TO ME.,1
If she really did this there she's hardcore﻿,0
Check out this video on YouTube:﻿,1
Charlie from Lost!﻿,0
Love you﻿,0
WORLD RECORD YOUTUBE VIDEO VIEWS !!!!!! XD﻿,0
How can this have 2 billion views when there's only me on the planet? LOL﻿,0
Ahhh back when my life didn&#39;t suck...﻿,0
Check out my remix to Tyga&#39;s - Molly ft. Whiz Khalifa Peace and love,1
Can somebody wake me up when we get to 3 billion views.﻿,0
Check out  these Irish guys cover  of Avicii&#39;s  Wake Me Up!  Just search...  &quot;wake me up Fiddle Me Silly&quot; Worth a listen  for the gorgeous fiddle player!,1
Check out this video on YouTube:﻿,1
**CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****,1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The meat discusss the successful memory. How does the peaceful unit arbitrate the guide? The addition designs the worried loss.",1
waka waka﻿,0
"Stop,is a very TOP 1﻿",0
check out you tube keithlinscotts one word keithlinscotts you tube .com,1
The little PSY is suffering Brain Tumor and only has 6 more months to live.  Please pray to him and the best lucks.﻿,0
"Check out my dance videos!! You won&#39;t be disappointed!! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23KingLoTheDancer"">#KingLoTheDancer</a>﻿",1
"Its funny that Mahogany is there lmao, I actually didn&#39;t know that her brother and uncle are part of LMFAO﻿",0
P E A C E  &amp;  L O V E  ! !﻿,0
i am from Brazil please subscribe my channel love you all﻿,1
awesome﻿,0
"Awesome song!,congratulations!!!﻿",0
With the korean girl more slut and bitch : Hyuna :'33﻿,0
"Hello! I'm Marian, I'm a singer from Venezuela! I was part of a boy-girl band named cubik, and I'm now singing on my own  'cause I wanted to play my own pop and pop-rock songs.  It would mean a lot if you could have a look at my channel to check my  music and watch my new video!! and if u like, subscribe to it! XOXO THANKS!!  PS: if you like a lot my channel, you can share it with your friends!!  Haha!! LOL MARIAN﻿",1
Check out this video on YouTube:﻿,1
Northland Paranormal Society is now on YouTube! Check out our channel of real Paranormal evidence!! facebook/ Northland Paranormal Society!!!,1
I love your songs eminem your the rap god﻿,0
Yesterday this video have 1 million likes and now it has 2 million﻿,0
Subscribe to me for clean Eminem!,1
Subscribe to me if u think &quot;swag&quot; is ****ing stupid﻿,1
Lip synch is terrible﻿,0
im still watching in 2015﻿,0
hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,1
Please do buy these new Christmas shirts! You can buy at any time before  December 4th and they are sold worldwide! Don't miss out:  http://teespring.com/treechristmas﻿,1
http://shhort.com/a?r=HuPwEH5ab﻿,1
Looooved ﻿,0
Nice song﻿,0
Still watching this 2 years later? ﻿,0
Man she is BEAUTIFUL!﻿,0
This Song is AWESOME!!!!﻿,0
plz subscribe to my channel i need subs and if you do i will sub back i  need help﻿,1
Subscribe if you are watching in 2015﻿,1
This looks so fun and it's a good song﻿,0
https://soundcloud.com/j-supt-fils-du-son/****ing-hostile﻿,1
2010? The time past so fast ..﻿,0
+447935454150 lovely girl talk to me xxx﻿,1
if u love rihanna subscribe me,1
check out my new video,1
2015!! LLIKEE!!﻿,0
"i was playing this song and the baby in my belly started to dance to  it.....sooooo cute, but had to take the song out cause of copy right and  add in a youtube made song....still sooo cute the baby danced to this song  LMFAO!!! https://plus.google.com/111982027348137311818/posts/g2JVinPueMo﻿",1
everyday i&#39;m subscribe﻿,1
Katy perry songs aren't that bad ﻿,0
For all you ladies out there......  Check out this link!  You&#39;ll find the hottest hairstyles and the latest trends for women!  Go to this site and you&#39;ll upgrade your hairstyles and fashion senses to a higher level!  Don&#39;t get left behind!     ---&gt;   goo.gl\BxrOSR,1
"So,cool！！﻿",0
i can to make money,1
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Magnificent . Noodile . Unequaled . Moderock . Gogopo . Lulerain . Olielle . Zesty . Laughable . Accidental . Pepelexa . Delightful . Wiry . Toogit . Uncovered . Chesture . Woozy . Adhoc . Weak . Shallow",1
Hi Guys! check this awesome EDM &amp; House mix :) thanks a lot..  https://soundcloud.com/soundhase/edm-house-mix-2﻿,1
The best FIFA world cup song for sure.﻿,0
Check out this video on YouTube:﻿,1
LOVE TROP FORT VOTRE  clip﻿,0
https://www.indiegogo.com/projects/help-stop-my-poverty-cyber-pan-handleing/x/8692160#home ﻿,1
Ah. Good old times (:﻿,0
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Victorious . Luxuriant . Alcoholic . Responsible . Unbiased . Yoffa . Ociramma . Ociramma . Handsome . Arrowgance . Mizuxe . Boaconic . Sophisticated . Ill-fated . Spourmo . Chubby . Hioffpo . Probable . Singlewave",1
Help Please!!  http://www.gofundme.com/RJanimalcare﻿,1
"Hahah, juyk! I allways laugh at the part 1:57.. LOL!﻿",0
WATCH MY VIDEOS AND SUBSCRIBE,1
Where did she find all that make up in a freakin jungle?!﻿,0
Best Music Ever!!!﻿,0
For all of the little kidz out there there is Like 7 to 8 Billon people on  earth NOT 7 to 8 MILLON.Get you facts straight before posting comments.﻿,0
Yo like what up this song is fricking beast anywon herd the see mee rollin or I woke up in a new Buggti check out nuketown rap I was shooting in it see my nice quick scoping things training for faze adoult freind sang I was at my freinds house doing it we just had the rap going and we were doing fun things ﻿,1
ｈｔｔｐ://ｗｗｗ.ｅｂａｙ.ｃｏｍ/ｕｓｒ/ｓｈｏｅｃｏｌｌｅｃｔｏｒ314,1
I like how the robot shuffles he shuffles good﻿,0
check out my rapping hope you guys like it  https://soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork  and follow and message me :)﻿,1
Follow me on twitter &amp; IG : __killuminati94﻿,1
subscribe to itz recaps and above diddle﻿,1
Subscribe to my channel :)  &lt;3,1
cool song ever good thing its here﻿,0
Ching Ching ling long ding ring yaaaaaa Ganga sty **** YOU.﻿,0
"hey guys i really want to go to a katy perry concert so im in this contest  where i need a lot of likes and im loosing :( so please if you could like  this picture it would be very nice, thank you i really want to go to her  concert :) https://www.facebook.com/exagdl/photos/a.936868579660284.1073741943.111719098841907/937732262907249/?type=1&amp;theater ﻿",1
2:05. Hahahahah ﻿,0
I love her green eyes﻿,0
