content,is_spam
"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com",1
White people are going extinct for more information subscribe to my channel or search for videos on &quot;white genocide&quot;  thank you,1
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS,1
http://psnboss.com/?ref=2tGgp3pV6L this is the song,1
Where are Shakifans?,0
Check out this playlist on YouTube:,1
"THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg",0
Put famous people in the jungle for an hour and look what happens.,0
https://www.facebook.com/tofikmiedzynB/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/?type=1&amp;theater ,1
that is megan fox,0
goot,0
"<a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=2m19s"">2:19</a> best part",0
Check out this video on YouTube:<br />Gotta dance and just have a blast every time I hear this song !!!! Just ❥love❥ it!<br />,1
shakira is the best!,0
5 years... ,0
is that megan fox?,0
Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions,0
It was  cool   the best   song ever  ,0
i like this song the video goes perfect with it,0
I ****ing hate her. Why? Because she don't write her songs she got  producers for that. Second why tha fack is she in every song almost nude  mayby because she's an attention hooker.,0
i hate rap,0
"check out ""starlitnightsky"" channel to see epic videos",1
Check out this video on YouTube:,1
This has had over 2 billion views.  Holy shit.,0
this video is great .....!!! I love this........and like much katy perry,0
who the **** cheats on megan fox,0
CHECK OUT THE NEW REMIX !!!<br />CLICK CLICK !!,1
Y LOVE YOU,0
eminem is a ginius stop!,0
Can somebody wake me up when we get to 3 billion views.,0
Check out  these Irish guys cover  of Avicii&#39;s  Wake Me Up!  Just search...  &quot;wake me up Fiddle Me Silly&quot; Worth a listen  for the gorgeous fiddle player!,1
❤️❤️❤️,0
CHECK OUT DANEJA GOOD GIRL,1
http://tankionline.com#friend=cd92db3f4 great game check it out!,1
psy=korean,0
That guy charley of lost TV show,0
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  When does the flimsy slip facilitate the manager? How does the noise set goals the anxious regret? How does the actually loss retrieve the smile?",1
LMFAO!,0
Party Rock....lol...who wants to shuffle!!!,0
Eminem THE BEST !,0
Amazing,0
"WE GO FOR 1,000,000,000 FOR EMINEM",0
I'm only checking the views,0
Subscribe &amp; Like /watch?v=5tu9gN1l310,1
:) I&#39;ll subscribe to you. You look Nice :),1
subcribe to us an we will subscribe back,1
I made a gaming channel (Unique right?) :L Angry Minecraft!,1
Love this song !!!!!!,0
so beutiful,0
"""eye of the tiger"" ""i am the champion"" seems like katy perry is using  titles of old rock songs for lyrics..",0
Check out this video on YouTube:,1
Whose watching this in 2015. If so hi-5,0
I remember this :D,0
CUTE  :),0
everyone come and check out the new GTA 5 Gameplay right Here : /watch?v=6_H0m5sAYho,1
Is that Charlie from lost?,0
MANY MEMORIES...........,0
"I make guitar covers, please have a look at my channel",1
"this video is very inaccurate, a tiger would rip her face of",0
Love this song makes me wanna dance! ,0
"Hey Music Fans I really appreciate all of you who take time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I dont have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that u won&#39;t regret!!! Thank u to all the people who just give me a chance it means a lot! :)",1
"9 year olds be like, 'How does this have 2 billion views when there are  only 3 people in the world'",0
I #votekatyperry for the 2014 MTV #VMA Best Lyric Video! See who's in the  lead and vote:  http://on.mtv.com/Ut15kX,1
"hey guys i really want to go to a katy perry concert so im in this contest  where i need a lot of likes and im loosing :( so please if you could like  this picture it would be very nice, thank you i really want to go to her  concert :) https://www.facebook.com/exagdl/photos/a.936868579660284.1073741943.111719098841907/937732262907249/?type=1&amp;theater ",1
Love the way you lie II is nicer in my opinion. :D,0
https://www.facebook.com/antrobofficial,1
Hi I am from bangladesh 💜,0
Her voice sounds weird and plus she&#39;s cute for a blonde,0
Watch my videos xx,1
857.482.940 views AWESOME !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
This looks so fun and it's a good song,0
http://www.wattpad.com/story/26032883-she-can-love-you-good,1
Hello. I only made ONE Eminem song on my channel. Could you guys just put A LIKE on it please? Don&#39;t need to subscribe. Thanks.,1
katy perry is awesome,0
Incmedia.org where the truth meets you.,1
Hi Guys im an Upcoming Rapper if you could check out my channel and tell me what you think maybe subscribe or like i would really appreciate it all HATERS are welcome to :) thanks,1
"I really love watching football and also I’ve started off making income with out financial risk from acquiring bonus deals. It’s this weird technique where you wager on something with one bookmakers and bet against it on Betfair. You secure the bonus as income . A chap named Jim Vanstone is finding the wagers free on his own website Vanstone Secrets (Google it!). I’ve made about 500 quid thus far. And it is cost-free. I guess the bookies pay him to obtain new consumers, yet this actually works.",1
I love this song so much &lt;3<br />Keep em&#39; coming!,0
"Good thing she brought her spray-on tan, hairstylist, makeup artist, and  cameraman.",0
LOVE IT!!!!!!!,0
I LOVE YOU KATTY PERRY &lt;3 ,0
like this comment if ur watching this on 2015 ,1
is that Megan fox,0
hey its M.E.S here I&#39;m a young up and coming rapper and i wanna get my music heard i know spam wont get me fame. but at the moment i got no way of getting a little attention so please do me a favour and check out my channel and drop a sub if you enjoy yourself. im just getting started so i really appreciate those who take time to leave constructive criticism i already got 200 subscribers and 4000 views on my first vid ive been told i have potential,1
super,0
Subscribe to my channel ,1
Terrance. .thank you for serving our country. How do i &quot;like you&quot; or &quot;subscribe&quot;?,1
Loool nice song funny how no one understands (me) and we love it,0
"this is the 4th most watched video on youtube. and hes the 21 most subscribed channel on youtube, just recentley surpassing justing bieber and is less then 1,00 subs away from beating taylor swift",1
Hey dickwad - we&#39;re all africans. The colour of your skin just tells us something about how long ago your ancestors left Africa.   Check out Baba Brinkman - he has a song called &quot;I&#39;m A African&quot;   Go learn something.,1
could you guys please check out my channel for hiphop beats?,1
Love it,0
Check my channel,1
"Subscribe me, I will? subscribe you back!!!",1
beautiful song!,0
sub my channel for no reason -_-,1
Check out Em&#39;s dope new song monster here: /watch?v=w6gkM-XNY2M  MMLP2 FTW :),1
Omg can this be the first video on YouTube to hit 1 billion views like this comment of you agree.,1
The Perry you're doing a good job good job I love all of their videos and  by the way can you please describe to my channel please please please  please I'm trying to get as many comments to Skyburst lights is a cancer  and get famous please,1
"Youtube comments in a nut shell:<br /><br />.First<br />.301 club<br />.Skip to <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m57s"">3:57</a> and close your eyes<br />.Advertisements<br />.like this comment for no reason<br />.Christianity arguements<br />.Other religious arguements<br />.Console wars<br />.#PCMASTERACE<br />.Trolls<br />.&quot;How is there 1 million views on the this video if theres online 10 people on earth/<br />.Complaints<br />.Pewdiepie fangirls<br />.Minecraft scrubs<br />./r/MontageParodies<br /><br /><br />AND ANY OTHER SHIT!!",1
No one makes me wanna party like LMFAO does... I just wanna rage every time one of these songs comes on. The only other band that does that is &quot;On the Rocks Inc.&quot; those kids know how to party,0
"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",1
she is beautiful but it is not American!,0
I love roar and Katy Perry. She is my favorite singer and sometimes I just  mute the volume and look at her!,0
WOW muslims are really egoistic..... 23% of the World population and not in this video or donating 1 dollar to the poor ones in Africa :( shame on those terrorist muslims,1
hay my is honesty wright i am 12year old  i love your song thank you for makeing this song i love this song so much sometime harts can get breaken  people kill  they self or go cazzy i  love you so much thanks 😱👏keep on go  make  sure you doing your   dream is comeing rule  good luck,0
Cool song ,0
"https://apps.facebook.com/my-polls/utsitcompetition2014?from=user_link&amp;ref_id=ouxg5e .  Please open this link and vote for  anand niketan international school, the  project name is project Fr-e-dom and share it with  yours friend.",1
Check out this video on YouTube:,1
http://www.twitch.tv/jaroadc come follow and watch my stream!,1
even without make up she is still  hot     http://uk.eonline.com/eol_images/Entire_Site/2012430/reg_1024.katy.mkup.mh.053012.jpg ,1
"2,124923004 wiews... wow",0
Suscribe My Channel Please XD lol,1
Hi everyone! My dream is to have passionate sex with Katy Perry. Some people do not believe in me…but maybe you will. Sex is a giant part of my life and it pushes me to be a better person! Please give me a chance by giving me a thumbs up! If you love my ambition please SUBSCRIBE!,1
I liked<br />,0
Super awesome video<br />,0
"Check out my dance videos!! You won&#39;t be disappointed!! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23KingLoTheDancer"">#KingLoTheDancer</a>",1
Anyone else think this video theme is a bit of an insult to 28 days later? ,0
Maybe no one will probably read this. But just in case you do Can You Put A &quot;Thumbs Up &quot;So Others Can See. I Just started rapping seriously (Type in Lunden- 1990 Video) just a simple button? can help my dreams come true. people will ignore this but if you don&#39;t can you listen and subscribe Thank you all God Bless.,1
"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1
"Its funny that Mahogany is there lmao, I actually didn&#39;t know that her brother and uncle are part of LMFAO",0
Check out this playlist on YouTube:,1
I love this song!!!,0
Check out this video on YouTube:Qq,1
Lamest World Cup song ever! This time FOR Africa? You mean IN Africa. It wasn&#39;t a Live Aid event or something. She made it seem like a charity case for them instead of a proud moment. Where was Ricky Martin when you needed him! SMH,0
hi beaties! i made a new channel please go check it out and subscribe and  enjoy!,1
She loves Vena. trojmiasto.pl/Vena-Bus-Taxi-o59253.html,1
Love this video and the song of course,0
Check out my Music Videos! and PLEASE SUBSCRIBE!!!! Fuego - U LA LA Remix  hyperurl.co/k6a5xt,1
;-),0
I&#39;m subscribing to you just because your comment was that great.,1
:-D ♪♪♪ This is my favorite song ♥,0
Memories,0
adam b beats check out my page 2013,1
looooooooooooooooooooovvvvvvvvveeeeeeeeeeee ittttttttttttt,0
http://www.googleadservices.com/pagead/aclk?sa=L&amp;ai=CSyOEB1wxVPCfL7D27AbGpYDgBJDPm6IH6MHu05wBgJXbv8sBEAEgkN7lJVCF7byH_f____8BYIOFgICAHKABsKG31wPIAQKpAh_KmC0hBpM-qAMByAPBBKoEkwFP0KullxqI1MG6o43HVzE-eFMqRG4Tu5LLBU_fsZ8gn0HBkJhBX-m83W1TS3_3Dx_HwPdX1Kazsj8o7SIEcVJjmBNsWyiJEcqvHXLbdzStUBOFaloYInWm0_rOOCppS2AuAT6zguICKm0lI83duwMAbzqvenE8TRfAzOrltBb037VzYv_XI4hBNQ2nvh19MrBgE0SIBgGgBgKAB7jeyCg&amp;num=1&amp;cid=5Ggs_m_9mA3TI40fS6mVPICS&amp;sig=AOD64_1OFC7Seh_1pOp-jYrbS7X6-heeNQ&amp;client=ca-pub-8252267209931889&amp;adurl=http://blog.2parale.ro/2014/10/challenge-pentru-afiliati-aplica-la-noile-programe-de-afiliere-si-fii-business-boomerul-lunii/&amp;nm=2&amp;mb=2&amp;bg=!A0QoUc7Q48v3_QIAAABpUgAAACsqAR0_VgOQWQxjmPUyvKoSf3K-q1BvKf9ZE4jhNC3ovckKxCbAFzZpAJiBXWBvVq4jrDgZ8q3rInlwgaBy_bXlfw7ma6dk0RJG14ZkRyizwqdi7HxgGE9tNDD9abflTFkBMbFfcJixNtHwbwkJ6N2onLH2D9EvEagPhoEwXOgBnu5ibgtRkgnAcQ1OIbgMzgAFNSc0lsaRiqj8HQR8T12dWv_7biY4k6I3y4yubloTdE_4XVKlnVeADZzF1L_xRYQkE6Wsur3EdLJWGk8fLq_QALdI-wAzNuysgqjNRDY6VucKLplZONyiSdKc9ebX-0dbHjZdW0LbsJBi40gXm0D0p5KRhv8XInQlI53__wQBaHS8zX4MJHw5vWrkPXFOeKs ,1
i like this song because of all the animals and i like this song .,0
Check out this video on YouTube:,1
Party rock due and duel,0
WORLD RECORD YOUTUBE VIDEO VIEWS !!!!!! XD,0
Check out this video on YouTube: I ,1
Subscribe to me plz plz plz plz plz plZ ,1
Limit sun exposure while driving. Eliminate the hassle of having to swing  the car visor between the windshield and window.  https://www.kickstarter.com/projects/733634264/visortwin,1
Still a very fun music video to watch! ,0
Hey check out my channel!!!! Please,1
tryna work with some rappers check out the ones i already have on my channel,1
Check out this video on YouTube:,1
subscribe like comment,1
Check me out I'm all about gaming ,1
Subscribe and Win a CAP<br />       ☆☆☆☆☆,1
Check out this video on YouTube:lo,1
Check out this video on YouTube:,1
https://vimeo.com/107297364,1
https://www.facebook.com/SchoolGeniusNITS/photos/ms.c.eJw9kVkOxDAMQm808h5z~;4sNjqP~_tHqBEuM69AQUp1Ih~_fPHgk5zLLsVdQv0ZUf0MB~;LnUJ~;ufTH4YoKfRxYts2zvrrp6qGtw67y~;L551h~;f7~_vlcZzRG8vGCTlPSD9ONGeWhj8~_GIbu~;S3lzMvY~;IQ2~;TwSfzz9WHn7JUSvHufpglQRZczl05fNPhaGeVb3x8yDmC6X~_~;jTcjnMho~;vfXWCjZyvWObihrnGx2ocjnG2PG1EvHXzyjD~_o3h~_RY6f57sPrnD2xV~;~_BzszZ~;8~-.bps.a.390875584405933/391725794320912/?type=1&amp;theater ,1
Dear friends please subscribe to my channel I will be very glad to see You virucide ;-),1
Please share and help to my Friend! http://www.gofundme.com/jormis  Thank  you very much!,1
Check out this video on YouTube:,1
waka waka,0
This song never gets old love it.,0
Check out my channel to see Rihanna short mix by me :),1
Check out this video on YouTube:,1
I love music,0
"Hahah, juyk! I allways laugh at the part 1:57.. LOL!",0
Please visit this Website: oldchat.tk,1
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Magnificent . Noodile . Unequaled . Moderock . Gogopo . Lulerain . Olielle . Zesty . Laughable . Accidental . Pepelexa . Delightful . Wiry . Toogit . Uncovered . Chesture . Woozy . Adhoc . Weak . Shallow",1
5 milions comentars and 2 bilion views,0
2015!! LLIKEE!!,0
Nice song .See my new track.,1
Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:,0
http://www.twitch.tv/zxlightsoutxz,1
Watching in 2015,0
I did a cover if u want to check it out THANK U.....Michael Age 8,1
This Song will never get old,0
The best world cup song ever!!!!,0
"the views...... They&#39;re over 90,000!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",0
Subscribe me please,1
I remember that torunament like it was today.,0
"Check out Melbourne shuffle, everybody!",1
"We get it, you came here for the views... ",0
"This video is so cool, again and again!",0
Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g,1
Check out this video on YouTube:,1
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the fragile swim enlist the person? How does the ice audit the frequent son? The fantastic chance describes the rate.",1
SUBSCRIBE MY CHANNEL PLEASE LOL PRO PLAYS),1
Eminem is my insperasen and fav,0
Check out this video on YouTube:,1
"So,cool！！",0
I always have goose bumps at that part,0
"Still listening,still same pleasure",0
Are those real animals,0
🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨<br />NOW THAT I HAVE YOUR ATTENTION!!! 🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨SUBSCRIBE TO MY CHANNEL!!!<br />🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨<br />GRACIAS!💋<br />🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨,1
"Since she is a feminist champion, why would she want to reinforce the  stereotype of girls being girly by painting the nails of an elephant that  probably wouldn't even appreciate it?",0
"Aye homies check out our remix to 50 Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard, give us some feed back on our latest song on what you guys think if you like show support.",1
WAYS TO MAKE MONEY 50k Per Month Search google Now &gt;&gt; 9nl.me/make-money-without-investment-1,1
plz subscribe to my channel i need subs and if you do i will sub back i  need help,1
&quot;HELP THE HUMANITY WITH YOUR SIGN IN TO THIS LINK WITH YOUR WHOLEHEARTED SUPPORT IF YOU SAY &quot;NO&quot; TO DISCRIMINATION. “UNITED WE STAND “  WE WILL BRING THE CHANGE TOGETHER.  IMPOSSIBLE ITSELF SAYS I  M  POSSIBLE&quot;  YOU ARE THE WINNERS OF MY SUCCESS!CHEERS TO ALL MY LOVING BROTHERS AND SISTERS !  PLEASE SHARE THIS LINK ON FACEBOOK TO SUPPORT AGAINST DISCRIMINATION.  tinyurl(dot)com(slash)mxh2y77  FEAR NONE BUT GOD !!!,1
Anybody else here in 2015?,0
Man she is BEAUTIFUL!,0
What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194,1
adf.ly /KlD3Y,1
"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",1
all u should go check out j rants vi about eminem,1
I love this song so much,0
That's Good :),0
i watched this because of the large amount of views and now i am convinced it is because that girl is so hot,0
Good,0
Plz subscribe to my channel and I will subscribe back xx,1
:),0
Aslamu Lykum... From Pakistan,1
Check out this video on YouTube:الإعلانات<br /><br /><br /><br /><br /><br />لل,1
2.126.521.750  views!!!!!!!!!!!!!!!!!,0
Check out this video on YouTube:,1
"Hey, it&#39;s Charlie from Lost",0
plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!,1
I came here because of Vanoss.,0
if u love rihanna subscribe me,1
"••••►►My name is George and let me tell u EMINEM is my idol my inspiration, I&#39;ve listen to him growing up, I never thou I would love rap this much But I thank him for helping me find my dream. So I rap now and make YouTube videos and yesterday I covered the song Mockingbird it&#39;s in my channel I worked really hard on it and it&#39;s one of my favorite songs of Him. So please go check it out and subscribe it would mean the world to me n sorry for the spam ◄◄••­•• don&#39;t hate I&#39;m not Eminem",1
Check out this video on YouTube:,1
Nezo and Ed<br />Like&amp;share this page on facebook please ,1
********OMG Facebook is OLD! Check out  -----------------&gt; swagFriends com Make thousands of cool new friends everyday! Join the movement!,1
Check out this video on YouTube: ,1
Charlie from LOST,0
I love this song so much,0
2010:(,0
like this comment please,1
subscribe to my channel who can,1
Love this song,0
Waka waka,0
I heard this when I was only 6 years old and I still love it,0
LIKKEE,0
Check out this video on YouTube:,1
Check out this playlist on YouTube:,1
Check out my mummy chanel!,1
I like how the robot shuffles he shuffles good,0
Eminem rap can be easy for a boy but I can do that,0
I &lt;3 Katy Perry!,0
"hi guys please check out my vids , i will promos to subscribe to you to",1
this song never get's old &lt;3 ,0
beautiful,0
lol so funny love it,0
Almost 1 billion,0
"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post",1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  The jelly activates the reflective distribution. The normal top synthesizes the opinion. The victorious plant entertains the language.",1
like please,1
Check out this video on YouTube:,1
Hi.Check out and share our songs.,1
He gets more views but has less subscribers lol,1
pleas subscribe on me for ps4 games video <br /><i>______________________________</i><br />if you have som tips so contact me on kik or skype<br /><i>______________________________</i><br />Kik: pander26<br />Skype: sander.nicolaysen2<br /><i>______________________</i><br />pleas subscribe on me and Kashoo Gaming,1
everyone please come check our newest song in memories of Martin Luther  King Jr.,1
"Check out: My Hood Doh, by Flixter Nossnevs",1
"""....because I AM a champion...and you're gonna hear me roar!""   Today I AM my own champion  Today I AM a champion for the Creator  Today I AM doing positive in my world Today I AM blessing and healing all around me Today I AM successful and  creating success  ",0
Check out this video on YouTube:,1
Was that Meghan fox??,0
"If I get 100 subscribers, I will summon Freddy Mercury's ghost to whipe  from the face of earth One Direction and Miley Cirus.",1
"Is this the video that started the whole ""got my dick stuck in an elevator""  excuse thing? ",0
"HAHAA THIS DANCE IS TIGHTTTT<br /><br />I know y&#39;all &quot;…ain&#39;t got time for MY demo man&quot;  but check out some of my stuff<br /><br />Slappers on slappers on bangers! Click that link below to peep game! ENJOY. <br /><br /><a href=""https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk"">https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk</a>",1
"Hey yall its the real Kevin Hart, shout out to my fans!!! follow me +RealKevinHeart ",1
"yo I know nobody will probably even read this..  But I’m gonna type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You",1
Check out this playlist on YouTube:,1
"I loved, she is amazing.. OMG your eyes*_*",0
Im just to check how much views it has,0
Wow;),0
Check out this video on YouTube:,1
"2 billion views, only 2 million shares",0
Check out this video on YouTube:,1
I think he was drunk during this :) x),0
Media is Evil! Please see and share: W W W. THE FARRELL REPORT. NET  Top Ex UK Police Intelligence Analyst turned Whistleblower Tony Farrell exposes a horrific monstrous cover-up perpetrated by criminals operating crimes from inside Mainstream Entertainment and Media Law firms. Beware protect your children!! These devils brutally target innocent people. These are the real criminals linked to London&#39;s 7/7 attacks 2005.  MUST SEE AND MAKE VIRAL!!! Also see UK Column video on 31st January 2013.,1
LOL this shit never gets old,0
Subscribe I&#39;ll subscribe back,1
subscribe to my channel yo - DJ Feelz,1
"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ",0
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the war illustrate the exclusive space? The mountain refers the helpless death. The tax reviews the special music.",1
Lip synch is terrible,0
